-0.38239,0.48323,0.11299
-0.38286,0.48074,0.10855
-0.38323,0.4727,0.096144
-0.38301,0.46669,0.085069
-0.38328,0.46343,0.080339
-0.38334,0.46028,0.074743
-0.38402,0.45401,0.067424
-0.38391,0.44907,0.060808
-0.38408,0.44509,0.055992
-0.38447,0.43962,0.050472
-0.38566,0.42751,0.042056
-0.38767,0.41855,0.040305
-0.38925,0.41229,0.039712
-0.39014,0.4062,0.038886
-0.39284,0.39901,0.041134
-0.39349,0.39186,0.037796
-0.39663,0.38416,0.042227
-0.39877,0.37686,0.044158
-0.39834,0.35788,0.061332
-0.39709,0.35234,0.060547
-0.3986,0.34856,0.068653
-0.40104,0.34276,0.081824
-0.40423,0.34098,0.095643
-0.40657,0.33929,0.10528
-0.40814,0.34003,0.11418
-0.40884,0.34001,0.11783
-0.40925,0.33864,0.11819
-0.41075,0.34399,0.12737
-0.41214,0.3406,0.12584
-0.4112,0.3424,0.12812
-0.40909,0.33989,0.12972
-0.40775,0.33158,0.13353
-0.40591,0.32389,0.1363
-0.4042,0.3145,0.13822
-0.40173,0.30737,0.14046
-0.39867,0.2965,0.14056
-0.39418,0.29014,0.14391
-0.39229,0.28304,0.14411
-0.38185,0.28579,0.14732
-0.38758,0.27401,0.14388
-0.38551,0.25682,0.14069
-0.38344,0.25197,0.13595
-0.38355,0.24491,0.135
-0.38172,0.24062,0.13109
-0.38094,0.23088,0.12092
-0.385,0.24909,0.13147
-0.38064,0.24187,0.1258
-0.38139,0.23029,0.11175
-0.38304,0.22501,0.10746
-0.3892,0.23128,0.11057
-0.3856,0.22235,0.10242
-0.38493,0.21723,0.092115
-0.38769,0.21032,0.080972
-0.38735,0.20395,0.068914
-0.38558,0.19341,0.055703
-0.38397,0.17385,0.044583
-0.38598,0.15345,0.038622
-0.38907,0.13876,0.037881
-0.39623,0.11184,0.048772
-0.39907,0.10677,0.059937
-0.39982,0.098587,0.064022
-0.40201,0.092251,0.073216
-0.40335,0.086475,0.079351
-0.40468,0.0835,0.086315
-0.4047,0.080777,0.091139
-0.40483,0.079803,0.094786
-0.40666,0.07493,0.10317
-0.40899,0.067996,0.11233
-0.40896,0.058436,0.1219
-0.40745,0.04875,0.13066
-0.40653,0.04106,0.13922
-0.40307,0.031761,0.14452
